data,prezzo,giorno,mese,trimestre,anno,stagione,SMA,deviazione_standard,banda_superiore,banda_inferiore
2024-01-23,1.779,2,1,1,2024,3,1.8027857142857144,0.03682600659730517,1.828563918903828,1.7770075096676008
2024-01-24,1.8012666666666666,3,1,1,2024,3,1.808109523809524,0.032752872162920846,1.8310365343235686,1.7851825132954793
2024-01-25,1.809625,4,1,1,2024,3,1.8024845238095237,0.02752358097923737,1.82175103049499,1.7832180171240575
2024-01-26,1.8112258064516127,5,1,1,2024,3,1.8028024961597542,0.02762407134745428,1.8221393461029722,1.7834656462165361
2024-01-27,1.811512195121951,6,1,1,2024,3,1.7981613811771757,0.02162706946641138,1.8133003298036636,1.7830224325506878
2024-01-28,1.7949444444444442,7,1,1,2024,3,1.8034391589549537,0.01296667766631482,1.812515833321374,1.7943624845885333
2024-01-29,1.8292058823529411,1,1,1,2024,3,1.8052542850053737,0.0157007646630383,1.8162448202695005,1.7942637497412468
2024-01-30,1.8374367816091954,2,1,1,2024,3,1.8178342282204658,0.01167206871321966,1.8260046763197195,1.809663780121212
2024-01-31,1.8446527777777777,3,1,1,2024,3,1.8273456773578725,0.010508377325935821,1.8347015414860275,1.8199898132297174
2024-02-02,1.84975,5,2,1,2024,3,1.825090870893812,0.028173798411415946,1.8448125297818032,1.805369212005821
2024-02-03,1.825,6,3,1,2024,3,1.8366666666666664,0.015815779743310065,1.8477377124869836,1.8255956208463493
2024-02-04,1.809,2,4,2,2024,0,1.8366666666666664,0.015815779743310065,1.8477377124869836,1.8255956208463493
2024-02-05,1.8328431372549019,4,5,2,2024,0,1.8332871148459382,0.013179162883266307,1.8425125288642246,1.8240617008276518
2024-02-06,1.817969696969697,7,6,2,2024,0,1.8295685001273234,0.01332418052461246,1.838895426494552,1.8202415737600948
2024-02-07,1.8528030303030303,2,7,3,2024,1,1.830826075884899,0.015197080017354495,1.8414640318970472,1.820188119872751
